Altium Designer Pick and Place Locations
D:\Work\Outsource\Mash-Unit\MU-RK3576J-MB\MU-RK3576J-MB\Project\Project Outputs for WM620-FA\Pick Place for MU-RK3576J-MB(MU-RK3576J-MB_MEDIAPLAYER).txt

========================================================================================================================
File Design Information:

Date:       18.06.26
Time:       00:38
Revision:   565ab68ce903e9d283ca9fb6306d9a29e483809e
Variant:    MU-RK3576J-MB_MEDIAPLAYER
Units used: mm

Designator Comment                  Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                          
VD11       ESD5451N                 BottomLayer DFN_1006_2              52.9001      12.6582      270      "Bidirectional TVS Diode 5V"                                                                         
VD10       SS56B                    BottomLayer DO-214AA                96.0945      59.3457      90       "Schottky Rectifier"                                                                                 
VD9        B5819W                   TopLayer    B5819W                  90.0293      71.7699      270      ""                                                                                                   
VD8        B5819W                   BottomLayer B5819W                  92.1250      81.6500      90       ""                                                                                                   
VD7        B5819W                   BottomLayer B5819W                  89.0500      80.4500      0        ""                                                                                                   
VD6        SS56B                    BottomLayer DO-214AA                111.9807     58.8421      180      "Schottky Rectifier"                                                                                 
VD5        SS56B                    BottomLayer DO-214AA                96.0250      76.6750      180      "Schottky Rectifier"                                                                                 
VD4        SS56B                    BottomLayer DO-214AA                105.5492     76.6630      180      "Schottky Rectifier"                                                                                 
VD3        SS56B                    TopLayer    DO-214AA                101.2275     67.7501      90       "Schottky Rectifier"                                                                                 
VD2        B5819WS                  TopLayer    B5819WS                 42.2496      41.0654      0        "Rectifier Diode, Schottky, 1 Phase, 1 Element, 1A, 40V V(RRM), Silicon"                             
VD1        ESD73111CZ-2/TR          BottomLayer ESD73111CZ-2/TR         31.1483      49.0721      90       "6.5VC Clamp 6A@8/20us Ipp ESD DIODE DWN0603-2L"                                                     
S3         SKRKAEE020               TopLayer    SKRKAEE020              11.7420      11.1767      180      "12V 2.9mm Round Button 3.9mm SPST 50mA SMD,3.9x2.9mm Tactile Switches RoHS"                         
R491       0R±5%                    BottomLayer R0402                   36.3698      16.5898      90       ""                                                                                                   
R490       2.2K±5%                  BottomLayer R0402                   33.4250      28.2633      90       *                                                                                                    
R489       2.2K±5%                  BottomLayer R0402                   32.4488      28.2920      90       *                                                                                                    
R488       0R±1%                    BottomLayer R0402                   73.0341      42.2556      270      "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R485       0R±5%                    BottomLayer R0402                   33.1701      20.1312      90       ""                                                                                                   
R484       0R±5%                    BottomLayer R0402                   35.2005      20.1312      90       ""                                                                                                   
R481       1K±5%                    BottomLayer R0402                   37.1912      20.1548      90       ""                                                                                                   
R480       22R±5%                   BottomLayer R0402                   25.4319      6.6365       270      ""                                                                                                   
R479       1K±5%                    BottomLayer R0402                   41.1191      20.1548      90       ""                                                                                                   
R478       10K±1%                   TopLayer    R0402                   23.0024      2.9438       270      "Chip Resistor 0402 10k? ±1% 50V ±100ppm/? Thick Film"                                               
R471       4.02K±1%                 BottomLayer R0402                   38.5702      73.5642      270      ""                                                                                                   
R470       1.62K±1%                 BottomLayer R0402                   45.6768      70.4500      180      ""                                                                                                   
R469       2.2R±1%                  TopLayer    R0402                   33.5504      65.2460      90       ""                                                                                                   
R468       2.2R±1%                  TopLayer    R0402                   34.4811      65.2460      90       ""                                                                                                   
R467       2.2R±1%                  TopLayer    R0402                   27.7593      65.2608      90       ""                                                                                                   
R466       2.2R±1%                  TopLayer    R0402                   28.6809      65.2534      90       ""                                                                                                   
R465       2.2R±1%                  TopLayer    R0402                   29.6060      65.2581      90       ""                                                                                                   
R464       2.2R±1%                  TopLayer    R0402                   30.5801      65.2618      90       ""                                                                                                   
R463       2.2R±1%                  TopLayer    R0402                   31.5989      65.2544      90       ""                                                                                                   
R462       2.2R±1%                  TopLayer    R0402                   32.6071      65.2460      90       ""                                                                                                   
R461       1.62K±1%                 BottomLayer R0402                   40.0447      65.8693      0        ""                                                                                                   
R460       22R±1%                   TopLayer    R0402                   24.7165      65.2544      90       "Chip Resistor 0402 22? ±1% 50V ±100ppm/? Thick Film"                                                
R459       22R±1%                   TopLayer    R0402                   23.7800      65.2608      90       "Chip Resistor 0402 22? ±1% 50V ±100ppm/? Thick Film"                                                
R458       12K±5%                   TopLayer    R0402                   19.8445      65.2460      90       ""                                                                                                   
R457       0R±1%                    TopLayer    R0402                   22.8233      65.2618      90       "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R456       0R±1%                    TopLayer    R0402                   21.8217      65.2660      90       "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R454       10K±1%                   TopLayer    R0402                   20.8449      65.2460      90       "Chip Resistor 0402 10k? ±1% 50V ±100ppm/? Thick Film"                                               
R451       0R±1%                    BottomLayer R0402                   19.8397      65.2394      90       "Chip Resistor 0402 0? ±1% 50V ±100ppm/? Thick Film"                                                 
R444       10K±1%                   BottomLayer R0402                   42.5336      74.6773      0        "Chip Resistor 0402 10k? ±1% 50V ±100ppm/? Thick Film"                                               
R423       0R±5%                    BottomLayer R0402                   71.5606      49.0553      180      ""                                                                                                   
R422       22R±5%                   TopLayer    R0402                   10.3969      32.4269      270      ""                                                                                                   
R421       10K±1%                   TopLayer    R0402                   10.3969      34.6003      270      "Chip Resistor 0402 10k? ±1% 50V ±100ppm/? Thick Film"                                               
R420       10K±1%                   BottomLayer R0402                   50.6972      38.1488      180      "Chip Resistor 0402 10k? ±1% 50V ±100ppm/? Thick Film"                                               
R419       6.8K±1%                  TopLayer    R0402                   11.2741      8.1203       90       ""                                                                                                   
R418       10K±1%                   TopLayer    R0402                   1.9784       4.4500       270      "Chip Resistor 0402 10k? ±1% 50V ±100ppm/? Thick Film"                                               
